SPID,Date,Claim Outcome,Promoter Score,Promoter Reason,Other,Data Supplier,Comments
SNP396067793,"Wednesday, 13 January 2021",Settled,10,CPF,,4, 
SNP39664068602,"Saturday, 27 February 2021",Settled,7,CPF,,3, 
SNP397043177,"Saturday, 3 October 2020",Declined,0,CPF,,3, 
SNP397151246434,"Saturday, 7 November 2020",Settled,9,CSE,,4, 
SNP3974212475,"Sunday, 5 July 2020",Settled,6,CSE,,4, 
SNP398026609,"Thursday, 17 December 2020",Settled,10,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP398044600,"Sunday, 4 April 2021",Processing,6,COT,,3, 
SNP398091059,"Tuesday, 14 April 2020",Declined,0,COT,,4, 
SNP39897235162,"Saturday, 26 September 2020",Settled,9,COT,,4, 
SNP39910871382,"Tuesday, 2 June 2020",Declined,0,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP399218788709,"Friday, 14 August 2020",Declined,2,COT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP39924023278,"Saturday, 29 August 2020",Settled,5,CSE,,3, 
SNP39984082897,"Thursday, 11 June 2020",Declined,3,COT,,3, 
SNP40038447140,"Tuesday, 4 August 2020",Settled,10,COT,,4, 
SNP40096026598,"Thursday, 15 April 2021",Declined,9,CPT,,4, 
SNP401059317,"Thursday, 25 June 2020",Declined,0,CSE,,4, 
SNP401083120,"Thursday, 12 November 2020",Settled,9,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP4012427777,"Sunday, 3 January 2021",Declined,3,CPT,,4, 
SNP4013520291,"Saturday, 23 May 2020",Settled,5,COT,,4, 
SNP4016011372,"Monday, 27 July 2020",Settled,9,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",3, 
SNP402048355,"Tuesday, 29 September 2020",Settled,9,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",4, 
SNP40240599080,"Saturday, 30 January 2021",Declined,1,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",3, 
SNP4027280677,"Friday, 1 May 2020",Declined,1,CPF,,4, 
SNP4029611768,"Wednesday, 29 April 2020",Declined,3,CPT,,4, 
SNP403089396,"Saturday, 24 October 2020",Settled,6,COT,,3, 
SNP404057732,"Tuesday, 13 October 2020",Settled,9,CPF,,3, 
SNP404092476,"Monday, 7 September 2020",Settled,6,CPT,,3, 
SNP404099847,"Saturday, 6 February 2021",Declined,5,CSE,,4, 
SNP40410861269,"Sunday, 11 October 2020",Settled,9,CPT,,3, 
SNP404128031349,"Tuesday, 13 April 2021",Declined,3,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP4042476440,"Sunday, 24 January 2021",Settled,9,COT,,3, 
SNP405012913,"Sunday, 18 October 2020",Declined,4,CPF,,3, 
SNP405062520,"Sunday, 7 March 2021",Settled,7,OOO,"Fringilla eleifend libero fames neque vestibulum bibendum diam ut libero lorem, viverra egestas elementum varius cubilia conubia et diam himenaeos, urna leo odio nisi consequat vestibulum leo iaculis nunc",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP40552504188,"Tuesday, 25 August 2020",Declined,3,CSE,,3, 
SNP40611294504,"Sunday, 14 February 2021",Settled,9,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4063280274,"Saturday, 3 April 2021",Declined,9,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP40650407379,"Monday, 6 April 2020",Settled,9,CPF,,3, 
SNP407063666,"Thursday, 4 March 2021",Settled,5,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP40732474106,"Friday, 30 April 2021",Declined,4,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP408090353,"Wednesday, 18 November 2020",Settled,7,CPF,,3, 
SNP408151212991,"Sunday, 28 March 2021",Settled,9,CSE,,3, 
SNP40832403932,"Thursday, 14 January 2021",Settled,9,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP409002492,"Friday, 24 April 2020",Settled,5,CSE,,3, 
SNP409034110,"Tuesday, 23 March 2021",Declined,4,CPT,,3, 
SNP409070768,"Sunday, 19 April 2020",Settled,5,CPF,,4, 
SNP409097494,"Wednesday, 20 May 2020",Settled,6,CSE,,4, 
SNP40916812385,"Friday, 17 April 2020",Declined,1,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",3, 
SNP4092410787,"Sunday, 27 September 2020",Settled,6,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP4094018823,"Thursday, 21 May 2020",Settled,7,COT,,4, 
SNP40940589347,"Monday, 1 March 2021",Declined,7,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP40972020764,"Thursday, 4 March 2021",Declined,7,CSE,,3, 
SNP40978404787,"Monday, 24 August 2020",Settled,9,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP410065516,"Wednesday, 16 September 2020",Settled,6,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP410202582076,"Sunday, 25 April 2021",Declined,7,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP41036099918,"Monday, 18 May 2020",Settled,9,CPT,,3, 
SNP4104888857,"Sunday, 22 November 2020",Declined,1,CPT,,3, 
SNP411108083940,"Saturday, 13 March 2021",Declined,7,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4, 
SNP41113585157,"Friday, 30 April 2021",Processing,2,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP41154031540,"Saturday, 28 November 2020",Settled,7,COT,,4, 
SNP412029827,"Wednesday, 6 January 2021",Settled,10,CPT,,4, 
SNP412038674,"Sunday, 25 October 2020",Settled,9,CPT,,3, 
SNP412055685,"Thursday, 12 November 2020",Settled,5,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP41214048901,"Friday, 19 June 2020",Settled,6,COT,,3, 
SNP41290000871,"Tuesday, 28 April 2020",Settled,6,CPF,,3, 
SNP413047349,"Wednesday, 7 April 2021",Declined,9,CPT,,3, 
SNP41310879767,"Thursday, 5 November 2020",Settled,6,COT,,4, 
SNP41411250271,"Sunday, 17 May 2020",Declined,1,CPT,,4, 
SNP4143672769,"Tuesday, 2 June 2020",Settled,5,CPT,,4, 
SNP4146484560,"Tuesday, 10 November 2020",Declined,3,CPT,,4, 
SNP41548096039,"Friday, 23 April 2021",Declined,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4156462618,"Saturday, 1 August 2020",Declined,0,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP416021162,"Sunday, 10 January 2021",Declined,0,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP416090831,"Tuesday, 30 March 2021",Settled,9,CPT,,4, 
SNP41736039324,"Friday, 24 April 2020",Settled,7,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4174843787,"Tuesday, 7 July 2020",Declined,1,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP418037145,"Saturday, 19 December 2020",Declined,1,CPT,,4, 
SNP418047293,"Saturday, 24 April 2021",Settled,7,CSE,,4, 
SNP418054903,"Thursday, 28 January 2021",Settled,7,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP418077435,"Thursday, 6 August 2020",Declined,2,CPF,,4, 
SNP41810563162,"Saturday, 20 June 2020",Settled,9,CPF,,3, 
SNP41819268508,"Friday, 8 May 2020",Declined,0,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4186043640,"Friday, 30 April 2021",Settled,10,COT,,4, 
SNP4188027214,"Thursday, 4 March 2021",Declined,7,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4, 
SNP419189070947,"Wednesday, 1 April 2020",Declined,1,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP420086981,"Monday, 11 January 2021",Declined,3,CPT,,3, 
SNP42043250224,"Friday, 11 December 2020",Settled,5,CPF,,3, 
SNP421077064,"Sunday, 4 October 2020",Settled,7,CPF,,3, 
SNP422044551,"Thursday, 22 October 2020",Declined,1,CSE,,4, 
SNP42212617453,"Friday, 19 June 2020",Settled,5,CPF,,3, 
SNP422224027610,"Tuesday, 29 September 2020",Settled,6,CSE,,4, 
SNP4225691492,"Sunday, 4 October 2020",Settled,5,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",4, 
SNP423009584,"Monday, 27 April 2020",Settled,7,CSE,,4, 
SNP423010179,"Sunday, 6 December 2020",Settled,7,CPT,,3, 
SNP423012413,"Saturday, 20 March 2021",Declined,0,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",4, 
SNP42310830388,"Saturday, 24 April 2021",Declined,9,COT,,4, 
SNP42363042532,"Thursday, 18 June 2020",Declined,0,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP42367293590,"Sunday, 14 June 2020",Settled,10,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",4, 
SNP424019538,"Monday, 27 July 2020",Declined,2,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP424096288,"Monday, 20 July 2020",Declined,0,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",3, 
SNP42432428196,"Saturday, 3 April 2021",Settled,5,CSE,,3, 
SNP425220568353,"Friday, 16 April 2021",Declined,2,CPT,,3, 
SNP42525205492,"Monday, 1 February 2021",Declined,5,COT,,4, 
SNP426001651,"Sunday, 13 December 2020",Declined,4,COT,,3, 
SNP426040378,"Friday, 5 March 2021",Settled,4,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP42614471253,"Sunday, 13 December 2020",Declined,3,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP42686456208,"Wednesday, 27 May 2020",Declined,4,CPF,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP427055942,"Friday, 8 January 2021",Settled,10,COT,,4, 
SNP427067366,"Monday, 19 October 2020",Settled,9,COT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP4272532912,"Saturday, 18 July 2020",Settled,10,CSE,,4, 
SNP42737833849,"Monday, 23 November 2020",Settled,9,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",3, 
SNP4277289899,"Friday, 22 January 2021",Declined,2,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP42775639356,"Friday, 9 October 2020",Settled,10,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",3, 
SNP4281062707,"Thursday, 25 June 2020",Settled,5,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP428128007195,"Thursday, 21 May 2020",Settled,9,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP42825693124,"Friday, 22 January 2021",Settled,9,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4284094928,"Friday, 4 September 2020",Settled,6,COT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP42842029901,"Thursday, 9 April 2020",Settled,9,COT,,4, 
SNP42843291193,"Monday, 25 January 2021",Declined,3,CSE,,3, 
SNP429011259,"Monday, 25 January 2021",Settled,7,CSE,,3, 
SNP429078594,"Saturday, 15 August 2020",Settled,5,CSE,,3, 
SNP42915004524,"Thursday, 20 August 2020",Declined,4,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4292099527,"Saturday, 1 August 2020",Declined,0,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP42957636038,"Saturday, 27 February 2021",Declined,4,CPT,,3, 
SNP42964087802,"Monday, 15 February 2021",Declined,9,CPT,,3, 
SNP42994566875,"Wednesday, 28 October 2020",Settled,9,CPF,,4, 
SNP43018988504,"Tuesday, 2 February 2021",Declined,7,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP431064889,"Tuesday, 1 September 2020",Declined,1,CPF,,4, 
SNP431068530,"Friday, 15 May 2020",Settled,7,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",4, 
SNP431072133,"Sunday, 21 March 2021",Settled,6,CSE,,4, 
SNP4311092893,"Wednesday, 8 April 2020",Declined,3,CPF,,3, 
SNP43118089358,"Saturday, 7 November 2020",Settled,9,CSE,,4, 
SNP4315401554,"Saturday, 17 October 2020",Declined,4,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP432055973,"Sunday, 27 December 2020",Declined,4,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP432068822,"Friday, 5 March 2021",Settled,4,CSE,,4, 
SNP43267553010,"Friday, 7 August 2020",Settled,6,CPF,,3, 
SNP433040594,"Friday, 19 March 2021",Declined,5,CSE,,4, 
SNP43316292111,"Thursday, 22 October 2020",Settled,9,CPT,,4, 
SNP433396924607,"Saturday, 24 April 2021",Processing,4,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3, 
SNP43342032711,"Tuesday, 29 September 2020",Declined,0,COT,,4, 
SNP434091266,"Saturday, 30 May 2020",Settled,6,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4341661148,"Friday, 19 February 2021",Settled,7,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",4, 
SNP43416883904,"Friday, 26 February 2021",Settled,7,CPT,,4, 
SNP43463062918,"Thursday, 3 December 2020",Settled,9,CPT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP435079027,"Friday, 27 November 2020",Settled,5,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP435089236,"Friday, 26 March 2021",Settled,6,COT,,3, 
SNP43514434791,"Sunday, 7 February 2021",Settled,5,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP4353228892,"Saturday, 6 March 2021",Declined,4,CPT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP436019092,"Monday, 15 June 2020",Settled,7,COT,,3, 
SNP436052170,"Saturday, 16 January 2021",Settled,7,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",4, 
SNP436079361,"Thursday, 8 October 2020",Declined,4,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP436091148,"Sunday, 16 August 2020",Settled,5,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP43714417960,"Thursday, 20 August 2020",Declined,3,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP43724016922,"Tuesday, 19 May 2020",Settled,7,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4374551062,"Thursday, 2 April 2020",Settled,10,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP4375637532,"Saturday, 13 February 2021",Settled,9,CSE,,3, 
SNP43757676223,"Monday, 20 July 2020",Settled,9,COT,,3, 
SNP438047381,"Thursday, 1 October 2020",Settled,7,CSE,,3, 
SNP438079453,"Sunday, 26 April 2020",Settled,10,COT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP43825645152,"Saturday, 4 July 2020",Declined,0,CSE,,4, 
SNP4388450158,"Tuesday, 1 December 2020",Settled,6,COT,,4, 
SNP439004564,"Saturday, 18 July 2020",Settled,10,CPF,,3, 
SNP439019579,"Sunday, 21 February 2021",Settled,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP439028605,"Sunday, 5 July 2020",Declined,4,CPT,,3, 
